City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Mafinga,TZ,2021-04-08 15:22:46,-7.25,35.0667,75.04,72,96,2.33
180,Chicama,PE,2021-04-08 15:22:46,-7.8447,-79.1469,66.2,94,90,8.05
181,Pionerskiy,RU,2021-04-08 15:22:47,54.9508,20.2275,44.6,76,20,13.42
182,Nalut,LY,2021-04-08 15:22:47,30.3333,10.85,78.96,24,38,19.08
183,Bluff,NZ,2021-04-08 15:22:48,-46.6,168.3333,44.01,95,46,1.99
184,Wakkanai,JP,2021-04-08 15:22:48,45.4094,141.6739,31.62,44,77,3.36
185,Batagay-Alyta,RU,2021-04-08 15:22:49,67.8006,130.4114,-7.11,98,100,3.15
186,Port Elizabeth,ZA,2021-04-08 15:21:42,-33.918,25.5701,69.8,78,0,9.22
187,Tezu,IN,2021-04-08 15:22:49,27.9167,96.1667,72.82,50,23,4.56
188,Pirawa,IN,2021-04-08 15:19:12,24.1551,76.0273,91.29,11,1,10.31
189,Kapaa,US,2021-04-08 15:18:00,22.0752,-159.319,71.6,56,20,20.71
190,Semirom,IR,2021-04-08 15:22:50,31.4167,51.5667,59.4,23,28,6.33
191,Savannah Bight,HN,2021-04-08 15:22:50,16.45,-85.85,82.99,74,40,14.38
192,Batak,BG,2021-04-08 15:22:50,41.95,24.2167,48.99,37,40,6.91
193,Orange,US,2021-04-08 15:19:36,33.7,-117.7675,62.01,72,75,2.73
194,Broome,US,2021-04-08 15:22:51,42.2506,-75.833,64.99,41,1,8.05
195,Sao Filipe,CV,2021-04-08 15:22:51,14.8961,-24.4956,76.75,63,2,8.16
196,Hasaki,JP,2021-04-08 15:22:52,35.7333,140.8333,50.0,87,20,12.66
197,Tukrah,LY,2021-04-08 15:22:52,32.5341,20.5791,63.61,65,8,14.07
198,Grindavik,IS,2021-04-08 15:22:52,63.8424,-22.4338,24.8,63,75,26.46
199,Galle,LK,2021-04-08 15:22:53,6.0367,80.217,80.28,75,9,5.84
200,Kahului,US,2021-04-08 15:18:23,20.8947,-156.47,68.0,77,1,6.91
201,Port Moresby,PG,2021-04-08 15:22:53,-9.4431,147.1797,75.2,94,20,5.75
202,Uddevalla,SE,2021-04-08 15:22:54,58.3478,11.9424,41.0,52,90,17.27
203,Tura,IN,2021-04-08 15:22:54,25.5198,90.2201,78.4,41,28,4.16
204,Saint-Joseph,RE,2021-04-08 15:22:54,-21.3667,55.6167,82.4,69,75,9.28
205,Antalaha,MG,2021-04-08 15:22:55,-14.9003,50.2788,79.41,78,89,11.74
206,Sao Joao Da Barra,BR,2021-04-08 15:22:55,-21.6403,-41.0511,80.6,65,75,5.75
207,Faanui,PF,2021-04-08 15:22:56,-16.4833,-151.75,81.32,68,15,11.5
208,Saint-Philippe,RE,2021-04-08 15:22:56,-21.3585,55.7679,82.4,69,75,11.3
209,Dunedin,NZ,2021-04-08 15:22:56,-45.8742,170.5036,52.0,91,0,1.99
210,Paita,PE,2021-04-08 15:22:57,-5.0892,-81.1144,84.2,54,0,10.36
211,Tumbes,PE,2021-04-08 15:22:57,-3.5667,-80.4414,80.6,78,40,4.61
212,Nidzica,PL,2021-04-08 15:22:57,53.3605,20.4275,33.8,100,75,8.05
213,San Francisco,US,2021-04-08 15:21:44,37.7749,-122.4194,51.01,81,75,10.36
214,Vengerovo,RU,2021-04-08 15:22:58,55.6848,76.7471,32.52,92,100,8.41
215,Cidreira,BR,2021-04-08 15:22:58,-30.1811,-50.2056,77.11,69,1,19.35
216,Arinos,BR,2021-04-08 15:22:59,-15.9169,-46.1056,81.3,54,85,7.2
217,Maryville,US,2021-04-08 15:22:59,35.7565,-83.9705,62.01,94,90,5.75
218,Lokosovo,RU,2021-04-08 15:23:00,61.1333,74.8167,28.4,96,70,5.91
219,Murakami,JP,2021-04-08 15:23:00,38.2333,139.4833,39.65,86,87,5.84
220,Hailey,US,2021-04-08 15:23:00,43.5196,-114.3153,39.2,56,20,7.83
